,f_res
1716,36.13098548337701
3876,31.829502352377425
1812,73.81577981705539
12590,50.08307160109092
14648,44.32447000247155
2828,7.272391673995563
2954,46.27941553217802
9606,95.17565139782339
6880,96.61473963117636
8627,58.96364100867584
170,20.48938627582583
1268,22.99060324502165
4638,22.702591118416414
601,22.839393818575832
1397,55.582436476012816
1154,69.93774731144833
11458,35.56828841819634
2527,69.62846841630225
9099,26.8505337190902
2450,59.9736118222006
5615,29.165646919621036
17923,23.140558743470304
14532,45.08892782047495
7487,57.46336611268087
6319,51.96236855648518
17122,19.16525677521697
5163,29.3202526975809
7618,24.818506966374912
6264,33.22405250131296
18328,45.08280411642559
9260,16.876973383874255
3078,20.35547753529747
12084,20.25360745768516
3145,22.92534381421574
10502,52.53490627192552
1016,24.594672044977546
796,24.261109741724514
13335,64.18095229115877
403,17.403760159804545
15340,39.908871920915026
9960,25.889913286838176
3824,36.9738595361642
6770,33.856913754800516
16870,41.28667139646886
15996,40.12501788161595
15094,20.33600506490889
7183,21.106421857103115
9932,37.13617927304854
10323,53.439057495431186
6724,65.56477311026097
7674,26.882508056541155
5808,31.75798987404587
13425,34.67778581685976
4974,40.78090751810215
9731,33.88984005568631
